Id,Description,Fixed Duration,Long Name,Module,Task Type,Transition End Type,Transition Start Type
Plane2_2AJ430-02-148UB,Plane2|2|02,28800,Plane2_2AJ430-02-148UB,Plane2_02,JOB,,
Plane2_2AJ430-02-1MV2A,Plane2|2|02,14400,Plane2_2AJ430-02-1MV2A,Plane2_02,JOB,,
Plane2_2AJ430-02-201C,Plane2|2|02,14400,Plane2_2AJ430-02-201C,Plane2_02,JOB,,
Plane2_2AJ430-02-202C,Plane2|2|02,19800,Plane2_2AJ430-02-202C,Plane2_02,JOB,,
Plane2_2AJ430-02-203C,Plane2|2|02,7200,Plane2_2AJ430-02-203C,Plane2_02,JOB,,
Plane2_2AJ430-02-251W,Plane2|2|02,1440,Plane2_2AJ430-02-251W,Plane2_02,JOB,,
Plane2_2AJ430-02-253C,Plane2|2|02,10800,Plane2_2AJ430-02-253C,Plane2_02,JOB,,
Plane2_2AJ430-02-304Y,Plane2|2|02,28440,Plane2_2AJ430-02-304Y,Plane2_02,JOB,,
Plane2_2AJ430-02-305Y,Plane2|2|02,21600,Plane2_2AJ430-02-305Y,Plane2_02,JOB,,
Plane2_2AJ430-02-306Y,Plane2|2|02,21600,Plane2_2AJ430-02-306Y,Plane2_02,JOB,,
Plane2_2AJ430-02-307Y,Plane2|2|02,28800,Plane2_2AJ430-02-307Y,Plane2_02,JOB,,
Plane2_2AJ430-02-311U,Plane2|2|02,12600,Plane2_2AJ430-02-311U,Plane2_02,JOB,,
Plane2_2AJ430-02-313UA,Plane2|2|02,16200,Plane2_2AJ430-02-313UA,Plane2_02,JOB,,
Plane2_2AJ430-02-317U,Plane2|2|02,7200,Plane2_2AJ430-02-317U,Plane2_02,JOB,,
Plane2_2AJ430-02-319U,Plane2|2|02,16200,Plane2_2AJ430-02-319U,Plane2_02,JOB,,
Plane2_2AJ430-02-321U,Plane2|2|02,10800,Plane2_2AJ430-02-321U,Plane2_02,JOB,,
Plane2_2AJ430-02-327U,Plane2|2|02,14400,Plane2_2AJ430-02-327U,Plane2_02,JOB,,
Plane2_2AJ430-02-329U,Plane2|2|02,14400,Plane2_2AJ430-02-329U,Plane2_02,JOB,,
Plane2_2AJ430-02-364C,Plane2|2|02,13680,Plane2_2AJ430-02-364C,Plane2_02,JOB,,
Plane2_2AJ430-02-401C,Plane2|2|02,41400,Plane2_2AJ430-02-401C,Plane2_02,JOB,,
Plane2_2AJ430-02-402C,Plane2|2|02,20160,Plane2_2AJ430-02-402C,Plane2_02,JOB,,
Plane2_2AJ430-02-650C,Plane2|2|02,11880,Plane2_2AJ430-02-650C,Plane2_02,JOB,,
Plane2_2AJ430-02-652C,Plane2|2|02,6480,Plane2_2AJ430-02-652C,Plane2_02,JOB,,
Plane2_2AJ430-02-672C,Plane2|2|02,14760,Plane2_2AJ430-02-672C,Plane2_02,JOB,,
Plane2_2AJ430-02-673C,Plane2|2|02,16560,Plane2_2AJ430-02-673C,Plane2_02,JOB,,
Plane2_2AJ430-02-718Y,Plane2|2|02,27000,Plane2_2AJ430-02-718Y,Plane2_02,JOB,,
Plane2_2AJ430-02-730CA,Plane2|2|02,7200,Plane2_2AJ430-02-730CA,Plane2_02,JOB,,
Plane2_2AJ430-02-750C,Plane2|2|02,6480,Plane2_2AJ430-02-750C,Plane2_02,JOB,,
Plane2_2AJ430-02-758C,Plane2|2|02,15840,Plane2_2AJ430-02-758C,Plane2_02,JOB,,
Plane2_2AJ430-02-760C,Plane2|2|02,10800,Plane2_2AJ430-02-760C,Plane2_02,JOB,,
Plane2_2AJ430-02-764W,Plane2|2|02,4680,Plane2_2AJ430-02-764W,Plane2_02,JOB,,
Plane2_2AJ430-02-835W,Plane2|2|02,36000,Plane2_2AJ430-02-835W,Plane2_02,JOB,,
Plane2_2AJ430-02-8A17,Plane2|2|02,54000,Plane2_2AJ430-02-8A17,Plane2_02,JOB,,
Plane2_2AJ430-02-8A36A,Plane2|2|02,19800,Plane2_2AJ430-02-8A36A,Plane2_02,JOB,,
