"_0TanksId.id","_0TanksId.maximumCapacity","_0TanksId.alarmLevelDown","_0TanksId.alarmLevelUp","_0TanksId.warningLevelDown","_0TanksId.warningLevelHigh","_0TanksId.nbHoursInputRequired","_0TanksId.initialVolume","_0TanksId.warningLevelInputPenalty","_0TanksId.alarmLevelInputPenalty","_0TanksId.minReserveHoursPenalty","_0TanksId.name","_1PeriodsValue",volume,outFlow,inFlow
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,13,2228,0.3530,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,14,2306,0.3460,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,15,2359,0.3530,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,16,2422,0.3500,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,17,2500,0.3460,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,18,2520,0.3620,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,19,2375,0.4080,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,20,1877,0.5060,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,21,1404,0.4990,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,22,1118,0.4470,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,23,1030,0.3920,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,24,1000,0.3760,0.3676
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,1,5995,0.09233,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,2,6683,0,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,3,7370,0,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,4,8058,0,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,5,8746,0,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,6,9433,0,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,7,9260,0.2390,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,8,9515,0.1203,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,9,1.013E+4,0.02066,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,10,1.082E+4,0,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,11,1.150E+4,0,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,12,1.219E+4,0,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,13,1.288E+4,0,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,14,1.357E+4,0,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,15,1.425E+4,0,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,16,1.494E+4,0,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,17,1.563E+4,0,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,18,1.632E+4,0,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,19,1.700E+4,0,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,20,1.667E+4,0.2830,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,21,1.633E+4,0.2870,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,22,1.658E+4,0.1210,0.1910
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,23,1.768E+4,0,0.3057
5,2.200E+4,1800,2.120E+4,4000,2.000E+4,0,5640,1,2,0,Tank 5,24,2.200E+4,0,1.200
