dcId,productId,customerId,ship
2301,SKU 1099,94550,0.0
2301,SKU 1099,94553,0.0
2301,SKU 1099,94558,0.0
2301,SKU 1099,94565,0.0
2301,SKU 1099,94587,0.0
2301,SKU 1099,94601,0.0
2301,SKU 1099,94806,0.0
2301,SKU 1099,95014,0.0
2301,SKU 1099,95035,0.0
2301,SKU 1099,95051,0.0
2301,SKU 1099,95076,0.0
2301,SKU 1099,95123,0.0
2301,SKU 1099,95207,0.0
2301,SKU 1099,95340,0.0
2301,SKU 1099,95350,0.0
2301,SKU 1099,95376,0.0
2301,SKU 1099,95608,0.0
2301,SKU 1099,95616,0.0
2301,SKU 1099,95687,0.0
2301,SKU 1099,95823,0.0
2301,SKU 1099,97007,0.0
2301,SKU 1099,97301,0.0
2301,SKU 1099,97321,0.0
2301,SKU 1099,98031,0.0
2301,SKU 1099,98052,0.0
2301,SKU 1099,98226,0.0
2301,SKU 1199,2148,0.0
2301,SKU 1199,2155,0.0
2301,SKU 1199,2169,0.0
2301,SKU 1199,2301,0.0
2301,SKU 1199,6010,0.0
2301,SKU 1199,6040,0.0
2301,SKU 1199,6460,0.0
2301,SKU 1199,6511,0.0
2301,SKU 1199,6902,0.0
2301,SKU 1199,7002,0.0
2301,SKU 1199,7055,0.0
2301,SKU 1199,7087,0.0
2301,SKU 1199,7093,0.0
2301,SKU 1199,7111,0.0
2301,SKU 1199,7305,0.0
2301,SKU 1199,7470,0.0
2301,SKU 1199,8701,0.0
2301,SKU 1199,8753,0.0
2301,SKU 1199,8854,0.0
2301,SKU 1199,10025,0.0
2301,SKU 1199,10314,0.0
2301,SKU 1199,10467,0.0
2301,SKU 1199,10701,0.0
2301,SKU 1199,11226,0.0
