Pool,Skill,Task,Quantity
Sta04_Plumb,SKILL,Plane1_2BJ430-04-123U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-125U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-129U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-134U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-138U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-140U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-164U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-166U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-167U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-175U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-176U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-177U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-178U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-179U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-180U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-181U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-182U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-183U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-184U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-186U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-188U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-190U,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-1MV4,4
Sta04_Elec,SKILL,Plane1_2BJ430-04-255WA,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-257W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-259W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-261W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-263W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-265WA,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-308UA,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-342U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-344U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-346U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-350U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-368U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-412U,1
LFF,SKILL,Plane1_2BJ430-04-535F,1
LFF,SKILL,Plane1_2BJ430-04-540F,1
LFF,SKILL,Plane1_2BJ430-04-543F,1
LFF,SKILL,Plane1_2BJ430-04-545F,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-556W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-561W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-562W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-563W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-564W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-565W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-567W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-616W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-628W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-632W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-634W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-635W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-636W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-637W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-638WA,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-639W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-640WA,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-643WA,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-669W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-688W,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-705UA,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-707U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-708U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-731U,1
Sta04_Struct,SKILL,Plane1_2BJ430-04-739C,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-755UA,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-770W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-772W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-774W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-776W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-780C,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-843WA,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-847C,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-870U,1
Sta04_Test,SKILL,Plane1_2BJ430-04-8A18,1
Sta04_Test,SKILL,Plane1_2BJ430-04-8A28,1
Sta04_Test,SKILL,Plane1_2BJ430-04-8A34,1
Sta04_Test,SKILL,Plane1_2BJ430-04-8A45A,1
Sta04_Test,SKILL,Plane1_2BJ430-04-8A50,1
Sta04_Test,SKILL,Plane1_2BJ430-04-8A55,1
Sta04_Test,SKILL,Plane1_2BJ430-04-8A57,1
Sta04_Test,SKILL,Plane1_2BJ430-04-8A58,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-929C,4
Sta04_Elec,SKILL,Plane1_2BJ430-04-975W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-976W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-977W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-978W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-979W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-980W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-987W,1
Sta05_Plumb,SKILL,Plane1_2BJ430-05-003Y,1
Sta05_Plumb,SKILL,Plane1_2BJ430-05-019U,1
Sta05_Plumb,SKILL,Plane1_2BJ430-05-196U,1
Sta05_Struct,SKILL,Plane1_2BJ430-05-1MV5,3
Sta05_Elec,SKILL,Plane1_2BJ430-05-267C,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-351W,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-355W,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-357W,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-359W,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-363W,1
Sta05_Plumb,SKILL,Plane1_2BJ430-05-367U,1
Sta05_Plumb,SKILL,Plane1_2BJ430-05-511UA,1
Sta05_Plumb,SKILL,Plane1_2BJ430-05-513U,1
Sta05_Plumb,SKILL,Plane1_2BJ430-05-515U,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-566W,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-571W,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-572W,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-577W,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-579C,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-642W,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-644W,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-645W,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-647W,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-649W,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-662C,1
Sta05_Plumb,SKILL,Plane1_2BJ430-05-678U,1
Sta05_Plumb,SKILL,Plane1_2BJ430-05-701U,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-734W,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-735W,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-736W,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-738C,1
Sta05_Elec,SKILL,Plane1_2BJ430-05-741W,1
