id_of_Task,taskStartVar,taskEndVar,taskDurationVar,taskStartVarDate,taskEndVarDate,taskAbsenceVar,taskPresenceVar
Plane5_2BJ430-03-211C,2935800.0,2949120.0,13320.0,2017-12-11 05:30:00,2017-12-11 09:12:00,0,1
Plane5_2BJ430-03-212W,2949120.0,2989080.0,39960.0,2017-12-11 09:12:00,2017-12-11 20:18:00,0,1
Plane5_2BJ430-03-336U,3075480.0,3094200.0,18720.0,2017-12-12 20:18:00,2017-12-13 01:30:00,0,1
Plane5_2BJ430-03-337U,2912400.0,2923920.0,11520.0,2017-12-10 23:00:00,2017-12-11 02:12:00,0,1
Plane5_2BJ430-03-338U,3139920.0,3181320.0,41400.0,2017-12-13 14:12:00,2017-12-14 01:42:00,0,1
Plane5_2BJ430-03-339U,2945160.0,2954520.0,9360.0,2017-12-11 08:06:00,2017-12-11 10:42:00,0,1
Plane5_2BJ430-03-341U,2954520.0,2972520.0,18000.0,2017-12-11 10:42:00,2017-12-11 15:42:00,0,1
Plane5_2BJ430-03-343U,2972520.0,2977200.0,4680.0,2017-12-11 15:42:00,2017-12-11 17:00:00,0,1
Plane5_2BJ430-03-345U,2977200.0,2990160.0,12960.0,2017-12-11 17:00:00,2017-12-11 20:36:00,0,1
Plane5_2BJ430-03-347U,2923920.0,2945160.0,21240.0,2017-12-11 02:12:00,2017-12-11 08:06:00,0,1
Plane5_2BJ430-03-349U,2990160.0,3000960.0,10800.0,2017-12-11 20:36:00,2017-12-11 23:36:00,0,1
Plane5_2BJ430-03-369U,3000960.0,3029760.0,28800.0,2017-12-11 23:36:00,2017-12-12 07:36:00,0,1
Plane5_2BJ430-03-408W,2999520.0,3040920.0,41400.0,2017-12-11 23:12:00,2017-12-12 10:42:00,0,1
Plane5_2BJ430-03-410W,3040920.0,3075480.0,34560.0,2017-12-12 10:42:00,2017-12-12 20:18:00,0,1
Plane5_2BJ430-03-552W,2912400.0,2944800.0,32400.0,2017-12-10 23:00:00,2017-12-11 08:00:00,0,1
Plane5_2BJ430-03-553W,2912400.0,2936160.0,23760.0,2017-12-10 23:00:00,2017-12-11 05:36:00,0,1
Plane5_2BJ430-03-554W,2944800.0,2973600.0,28800.0,2017-12-11 08:00:00,2017-12-11 16:00:00,0,1
Plane5_2BJ430-03-555C,2936160.0,2966760.0,30600.0,2017-12-11 05:36:00,2017-12-11 14:06:00,0,1
Plane5_2BJ430-03-557W,2966760.0,2985120.0,18360.0,2017-12-11 14:06:00,2017-12-11 19:12:00,0,1
Plane5_2BJ430-03-558W,2973600.0,3004200.0,30600.0,2017-12-11 16:00:00,2017-12-12 00:30:00,0,1
Plane5_2BJ430-03-559W,3051360.0,3075480.0,24120.0,2017-12-12 13:36:00,2017-12-12 20:18:00,0,1
Plane5_2BJ430-03-560W,3047040.0,3065040.0,18000.0,2017-12-12 12:24:00,2017-12-12 17:24:00,0,1
Plane5_2BJ430-03-624WA,2912400.0,2998800.0,86400.0,2017-12-10 23:00:00,2017-12-11 23:00:00,0,1
Plane5_2BJ430-03-626WA,3017160.0,3045960.0,28800.0,2017-12-12 04:06:00,2017-12-12 12:06:00,0,1
Plane5_2BJ430-03-629WA,2950200.0,3051000.0,100800.0,2017-12-11 09:30:00,2017-12-12 13:30:00,0,1
Plane5_2BJ430-03-630WA,3045960.0,3055320.0,9360.0,2017-12-12 12:06:00,2017-12-12 14:42:00,0,1
Plane5_2BJ430-03-631W,2912400.0,2950200.0,37800.0,2017-12-10 23:00:00,2017-12-11 09:30:00,0,1
Plane5_2BJ430-03-633W,3051000.0,3063960.0,12960.0,2017-12-12 13:30:00,2017-12-12 17:06:00,0,1
Plane5_2BJ430-03-680U,2998800.0,3016800.0,18000.0,2017-12-11 23:00:00,2017-12-12 04:00:00,0,1
Plane5_2BJ430-03-703UA,2935800.0,3006720.0,70920.0,2017-12-11 05:30:00,2017-12-12 01:12:00,0,1
Plane5_2BJ430-03-766W,2912400.0,2970360.0,57960.0,2017-12-10 23:00:00,2017-12-11 15:06:00,0,1
Plane5_2BJ430-03-768W,2970360.0,2993760.0,23400.0,2017-12-11 15:06:00,2017-12-11 21:36:00,0,1
Plane5_2BJ430-03-835W,2912400.0,2935800.0,23400.0,2017-12-10 23:00:00,2017-12-11 05:30:00,0,1
Plane5_2BJ430-03-8A10A,3075480.0,3090240.0,14760.0,2017-12-12 20:18:00,2017-12-13 00:24:00,0,1
Plane5_2BJ430-03-8A35,3129840.0,3141360.0,11520.0,2017-12-13 11:24:00,2017-12-13 14:36:00,0,1
Plane5_2BJ430-03-8A36,2942639.0,3016439.0,73800.0,2017-12-11 07:23:59,2017-12-12 03:53:59,0,1
Plane5_2BJ430-03-8A37,3016439.0,3047759.0,31320.0,2017-12-12 03:53:59,2017-12-12 12:35:59,0,1
Plane5_2BJ430-03-8A47,2912400.0,2942639.0,30239.0,2017-12-10 23:00:00,2017-12-11 07:23:59,0,1
Plane5_2BJ430-03-8B52,3101760.0,3129840.0,28080.0,2017-12-13 03:36:00,2017-12-13 11:24:00,0,1
Plane5_2BJ430-03-969C,3060000.0,3075480.0,15480.0,2017-12-12 16:00:00,2017-12-12 20:18:00,0,1
Plane5_2BJ430-03-972U,2912400.0,2930040.0,17640.0,2017-12-10 23:00:00,2017-12-11 03:54:00,0,1
Plane5_2BJ430-03-981WA,2985120.0,3036600.0,51480.0,2017-12-11 19:12:00,2017-12-12 09:30:00,0,1
Plane5_2BJ430-03-982WA,2989080.0,3032640.0,43560.0,2017-12-11 20:18:00,2017-12-12 08:24:00,0,1
Plane5_2BJ430-03-983W,3036600.0,3043800.0,7200.0,2017-12-12 09:30:00,2017-12-12 11:30:00,0,1
Plane5_2BJ430-03-984W,3044160.0,3051360.0,7200.0,2017-12-12 11:36:00,2017-12-12 13:36:00,0,1
Plane5_2BJ430-03-985WA,3043800.0,3051720.0,7920.0,2017-12-12 11:30:00,2017-12-12 13:42:00,0,1
Plane5_2BJ430-03-986WA,3055320.0,3062160.0,6840.0,2017-12-12 14:42:00,2017-12-12 16:36:00,0,1
Plane5_2BJ430-03-992U,2912400.0,2932200.0,19800.0,2017-12-10 23:00:00,2017-12-11 04:30:00,0,1
Plane5_2BJ430-03-997U,2912400.0,2930400.0,18000.0,2017-12-10 23:00:00,2017-12-11 04:00:00,0,1
Plane5_2BJ430-04-015Y,3469319.0,3490919.0,21600.0,2017-12-17 09:41:59,2017-12-17 15:41:59,0,1
Plane5_2BJ430-04-023C,3274920.0,3288240.0,13320.0,2017-12-15 03:42:00,2017-12-15 07:24:00,0,1
Plane5_2BJ430-04-033W,3258000.0,3274920.0,16920.0,2017-12-14 23:00:00,2017-12-15 03:42:00,0,1
Plane5_2BJ430-04-035W,3288240.0,3373560.0,85320.0,2017-12-15 07:24:00,2017-12-16 07:06:00,0,1
Plane5_2BJ430-04-037C,3397320.0,3405960.0,8640.0,2017-12-16 13:42:00,2017-12-16 16:06:00,0,1
Plane5_2BJ430-04-039C,3373560.0,3382920.0,9360.0,2017-12-16 07:06:00,2017-12-16 09:42:00,0,1
Plane5_2BJ430-04-071W,3321000.0,3339720.0,18720.0,2017-12-15 16:30:00,2017-12-15 21:42:00,0,1
Plane5_2BJ430-04-073WA,3339720.0,3350160.0,10440.0,2017-12-15 21:42:00,2017-12-16 00:36:00,0,1
Plane5_2BJ430-04-077WA,3350160.0,3414960.0,64800.0,2017-12-16 00:36:00,2017-12-16 18:36:00,0,1
Plane5_2BJ430-04-119U,3455280.0,3475080.0,19800.0,2017-12-17 05:48:00,2017-12-17 11:18:00,0,1
Plane5_2BJ430-04-123U,3318120.0,3348720.0,30600.0,2017-12-15 15:42:00,2017-12-16 00:12:00,0,1
Plane5_2BJ430-04-125U,3296520.0,3318120.0,21600.0,2017-12-15 09:42:00,2017-12-15 15:42:00,0,1
Plane5_2BJ430-04-129U,3361680.0,3433680.0,72000.0,2017-12-16 03:48:00,2017-12-16 23:48:00,0,1
Plane5_2BJ430-04-134U,3401640.0,3417840.0,16200.0,2017-12-16 14:54:00,2017-12-16 19:24:00,0,1
Plane5_2BJ430-04-138U,3323880.0,3376080.0,52200.0,2017-12-15 17:18:00,2017-12-16 07:48:00,0,1
Plane5_2BJ430-04-140U,3500280.0,3536280.0,36000.0,2017-12-17 18:18:00,2017-12-18 04:18:00,0,1
Plane5_2BJ430-04-164U,3258000.0,3269520.0,11520.0,2017-12-14 23:00:00,2017-12-15 02:12:00,0,1
Plane5_2BJ430-04-166U,3269520.0,3273120.0,3600.0,2017-12-15 02:12:00,2017-12-15 03:12:00,0,1
Plane5_2BJ430-04-167U,3258000.0,3276360.0,18360.0,2017-12-14 23:00:00,2017-12-15 04:06:00,0,1
Plane5_2BJ430-04-175U,3258000.0,3286800.0,28800.0,2017-12-14 23:00:00,2017-12-15 07:00:00,0,1
Plane5_2BJ430-04-176U,3273120.0,3285360.0,12240.0,2017-12-15 03:12:00,2017-12-15 06:36:00,0,1
Plane5_2BJ430-04-177U,3286800.0,3296520.0,9720.0,2017-12-15 07:00:00,2017-12-15 09:42:00,0,1
